Name,Description1,CV,Picture Path
Diego Germán Báez,51 Anos 37 Anos de Experiência,"Diego é administrador formado pela Mackenzie, com especializações pela FGV, Kellogg e PUCRS. Atuou em consultorias como PwC, foi executivo global na Microsoft e sócio da Heartman House, com foco em estratégia e reestruturação.",images/diego.jpg
Rogério Toledo,61 Anos 41 Anos de Experiência,"Rogério é administrador formado pelo IMES, com especializações em Produção e Supply Chain, e 26 anos de experiência em consultorias como PwC, IBM e KPMG. Atuou em projetos de S&OP, suprimentos e redução de custos, além de ter sido professor de Supply Chain em instituições como FGV e IBMEC.",images/rogerio.jpg
Felipe Alves Calliari Bahia,36 Anos 10 Anos de Experiência,"Felipe é engenheiro eletricista formado pela USP São Carlos e iniciou sua carreira na Falconi, com foco em projetos de PMO. Atuou também na Accenture e EY-Parthenon em projetos de estratégia, eficiência operacional e crescimento de receita em telecom e CRM-BPO.",images/felipe.jpg
Mateus Alves Zuliani,30 Anos 8 Anos de Experiência,"Mateus é engenheiro mecânico formado pela USP São Carlos, com MBA Executivo pelo Insper e intercâmbio na Kansas State University. Iniciou sua carreira na Rentbrella, onde se tornou Head de Produção. Hoje é sócio da DGB Consultores, com atuação em Estratégia e Finanças.",images/mateus.jpg
